obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;model_id;model_name;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_subsequent invoice;Multi-object;;Alternate Precedence[quantity, subsequent invoice] | | |;Binary;set();set();Alternate Precedence;quantity;subsequent invoice;['2a56e96a634247bca22e773507c10d57'];['W2-P4(ORDER-TO-CASH)'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'quantity': 0.5423005819320679, 'subsequent invoice': 0.8053135275840759};0.6738070547580719;fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_subsequent invoice;0.6096521557338775;['Change Quantity'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];fb4e4793-ad2b-418d-9c19-5a1bd2fa8193_Object_quantity_Object_subsequent invoice;22
aa9ab84f-3e00-4516-9f1c-231a8ddbf0af_Object_order confirmation_Object_price;Multi-object;;Succession[order confirmation, price] | | |;Binary;set();set();Succession;order confirmation;price;['62460a88c0b141ec8a20bada2321fe66'];['Scenario 1'];1;{1} occurs if and only if it is followed by {2};{'order confirmation': 0.6202767491340637, 'price': 0.5162217020988464};0.5682492256164551;aa9ab84f-3e00-4516-9f1c-231a8ddbf0af_Object_order confirmation_Object_price;0.5146501095064224;['Receive Order Confirmation'];['Change Price'];aa9ab84f-3e00-4516-9f1c-231a8ddbf0af_Object_order confirmation_Object_price;1136
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_invoice;Multi-object;;Responded Existence[invoice receipt, invoice] | | |;Binary;set();set();Responded Existence;invoice receipt;invoice;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7916640639305115, 'invoice': 0.6584066152572632};0.7250353395938873;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_invoice;0.6557576120861115;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Vendor creates invoice', 'Clear Invoice'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_invoice;424
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_final invoice indicator;Multi-object;;Responded Existence[invoice receipt, final invoice indicator] | | |;Binary;set();set();Responded Existence;invoice receipt;final invoice indicator;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7916640639305115, 'final invoice indicator': 0.5973420143127441};0.6945030391216278;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_final invoice indicator;0.6282785416610779;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change Final Invoice Indicator'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_final invoice indicator;11143
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_subsequent invoice;Multi-object;;Responded Existence[invoice receipt, subsequent invoice] | | |;Binary;set();set();Responded Existence;invoice receipt;subsequent invoice;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7916640639305115, 'subsequent invoice': 0.6018521785736084};0.6967581212520599;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_subsequent invoice;0.6303081155784668;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_subsequent invoice;11123
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_final invoice indicator_Object_subsequent invoice;Multi-object;;Responded Existence[final invoice indicator, subsequent invoice] | | |;Binary;set();set();Responded Existence;final invoice indicator;subsequent invoice;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;if {1} occurs in the process instance, then {2} occurs as well;{'final invoice indicator': 0.6769558787345886, 'subsequent invoice': 0.6018521785736084};0.6394040286540985;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_final invoice indicator_Object_subsequent invoice;0.5786894322403016;['Change Final Invoice Indicator'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_final invoice indicator_Object_subsequent invoice;3
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_subsequent invoice_Object_final invoice indicator;Multi-object;;Responded Existence[subsequent invoice, final invoice indicator] | | |;Binary;set();set();Responded Existence;subsequent invoice;final invoice indicator;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;if {1} occurs in the process instance, then {2} occurs as well;{'subsequent invoice': 0.8053135275840759, 'final invoice indicator': 0.5973420143127441};0.70132777094841;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_subsequent invoice_Object_final invoice indicator;0.6344208003051819;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Final Invoice Indicator'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_subsequent invoice_Object_final invoice indicator;23
472f4f70-7da1-416f-a001-bc9064829b2b_Object_purchase requisition item_Object_approval;Multi-object;;Alternate Response[purchase requisition item, approval] | | |;Binary;set();set();Alternate Response;purchase requisition item;approval;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'purchase requisition item': 0.7006875872612, 'approval': 1.0000001192092896};0.8503438532352448;472f4f70-7da1-416f-a001-bc9064829b2b_Object_purchase requisition item_Object_approval;0.7685352743633331;['Create Purchase Requisition Item'];['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];472f4f70-7da1-416f-a001-bc9064829b2b_Object_purchase requisition item_Object_approval;1217
472f4f70-7da1-416f-a001-bc9064829b2b_Object_order confirmation_Object_approval;Multi-object;;Alternate Response[order confirmation, approval] | | |;Binary;set();set();Alternate Response;order confirmation;approval;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'order confirmation': 0.5856505632400513, 'approval': 1.0000001192092896};0.7928253412246704;472f4f70-7da1-416f-a001-bc9064829b2b_Object_order confirmation_Object_approval;0.7167686135538163;['Receive Order Confirmation'];['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];472f4f70-7da1-416f-a001-bc9064829b2b_Object_order confirmation_Object_approval;51
b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_invoice receipt;Multi-object;;Alternate Response[approval, invoice receipt] | | |;Binary;set();set();Alternate Response;approval;invoice receipt;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'approval': 1.0000001192092896, 'invoice receipt': 0.886336624622345};0.9431683719158173;b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_invoice receipt;0.8520773411758484;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_invoice receipt;164
b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_invoice;Multi-object;;Alternate Response[approval, invoice] | | |;Binary;set();set();Alternate Response;approval;invoice;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'approval': 1.0000001192092896, 'invoice': 0.6584066152572632};0.8292033672332764;b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_invoice;0.7495088369615616;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Vendor creates invoice', 'Clear Invoice'];b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_invoice;141
b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_final invoice indicator;Multi-object;;Alternate Response[approval, final invoice indicator] | | |;Binary;set();set();Alternate Response;approval;final invoice indicator;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'approval': 1.0000001192092896, 'final invoice indicator': 0.5973420143127441};0.7986710667610168;b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_final invoice indicator;0.7220297665365281;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Change Final Invoice Indicator'];b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_final invoice indicator;651
b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_subsequent invoice;Multi-object;;Alternate Response[approval, subsequent invoice] | | |;Binary;set();set();Alternate Response;approval;subsequent invoice;['3664e0ebcd354c6d9a531fe8d9021a0b'];['7. Verify Payment'];1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'approval': 1.0000001192092896, 'subsequent invoice': 0.6018521785736084};0.800926148891449;b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_subsequent invoice;0.724059340453917;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];b3010a31-9abd-4544-946e-fa184340ef2c_Object_approval_Object_subsequent invoice;651
0ddb75ab-1b63-43d6-a1f4-3ae1508685b2_Object_price_Object_quantity;Multi-object;;Responded Existence[price, quantity] | | |;Binary;set();set();Responded Existence;price;quantity;['8b9adfc5987c486b8a2150b2d36fb3f7'];['CSV Pharmacy'];1;if {1} occurs in the process instance, then {2} occurs as well;{'price': 1.0000001192092896, 'quantity': 0.5020760297775269};0.7510380744934082;0ddb75ab-1b63-43d6-a1f4-3ae1508685b2_Object_price_Object_quantity;0.6791600734956803;['Change Price'];['Change Quantity'];0ddb75ab-1b63-43d6-a1f4-3ae1508685b2_Object_price_Object_quantity;1025
3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_purchase order_Object_purchase requisition item;Multi-object;;Precedence[purchase order, purchase requisition item] | | |;Binary;set();set();Precedence;purchase order;purchase requisition item;['8be4dbff58114110bab8a1718faf0c93'];['12345678'];1;{2} occurs only if it is preceded by {1};{'purchase order': 0.5383486151695251, 'purchase requisition item': 0.5985596776008606};0.5684541463851929;3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_purchase order_Object_purchase requisition item;0.5148345381982865;['Release Purchase Order'];['Create Purchase Requisition Item'];3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_purchase order_Object_purchase requisition item;1220
3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_purchase order_Object_invoice receipt;Multi-object;;Precedence[purchase order, invoice receipt] | | |;Binary;set();set();Precedence;purchase order;invoice receipt;['8be4dbff58114110bab8a1718faf0c93'];['12345678'];1;{2} occurs only if it is preceded by {1};{'purchase order': 0.5383486151695251, 'invoice receipt': 0.6807150840759277};0.6095318496227264;3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_purchase order_Object_invoice receipt;0.5518044711120667;['Release Purchase Order'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_purchase order_Object_invoice receipt;11145
3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_quantity_Object_invoice receipt;Multi-object;;Precedence[quantity, invoice receipt] | | |;Binary;set();set();Precedence;quantity;invoice receipt;['8be4dbff58114110bab8a1718faf0c93'];['12345678'];1;{2} occurs only if it is preceded by {1};{'quantity': 0.5040097236633301, 'invoice receipt': 0.6807150840759277};0.5923624038696289;3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_quantity_Object_invoice receipt;0.5363519699342789;['Change Quantity'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];3d5a92eb-20b5-4833-a892-9c6b82e35c08_Object_quantity_Object_invoice receipt;10386
9b9b50a7-a631-4972-8de0-72cd93b059e9_Object_invoice receipt_Object_quantity;Multi-object;;Alternate Succession[invoice receipt, quantity] | | |;Binary;set();set();Alternate Succession;invoice receipt;quantity;['8be4dbff58114110bab8a1718faf0c93'];['12345678'];1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'invoice receipt': 0.7333611249923706, 'quantity': 0.5040097236633301};0.6186854243278503;9b9b50a7-a631-4972-8de0-72cd93b059e9_Object_invoice receipt_Object_quantity;0.5600426883466781;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change Quantity'];9b9b50a7-a631-4972-8de0-72cd93b059e9_Object_invoice receipt_Object_quantity;11180
769a76ff-a326-4e26-b90e-deb2590d062b_Object_purchase order_Object_order confirmation;Multi-object;;Alternate Response[purchase order, order confirmation] | | |;Binary;set();set();Alternate Response;purchase order;order confirmation;['852a3792ce1a45cbb56b0ac587c29187'];"[""Z'Cheddr Paying Process""]";1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'purchase order': 0.5590452551841736, 'order confirmation': 0.6210375428199768};0.5900413990020752;769a76ff-a326-4e26-b90e-deb2590d062b_Object_purchase order_Object_order confirmation;0.5342630655534806;['Release Purchase Order'];['Receive Order Confirmation'];769a76ff-a326-4e26-b90e-deb2590d062b_Object_purchase order_Object_order confirmation;1
769a76ff-a326-4e26-b90e-deb2590d062b_Object_purchase order_Object_purchase order item;Multi-object;;Alternate Response[purchase order, purchase order item] | | |;Binary;set();set();Alternate Response;purchase order;purchase order item;['852a3792ce1a45cbb56b0ac587c29187'];"[""Z'Cheddr Paying Process""]";1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'purchase order': 0.5590452551841736, 'purchase order item': 0.6102054119110107};0.5846253335475922;769a76ff-a326-4e26-b90e-deb2590d062b_Object_purchase order_Object_purchase order item;0.5293886066444459;['Release Purchase Order'];['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];769a76ff-a326-4e26-b90e-deb2590d062b_Object_purchase order_Object_purchase order item;1
2680fb1d-fcf4-4d79-8edd-ae7249796204_Object_quantity_Object_price;Multi-object;;Responded Existence[quantity, price] | | |;Binary;set();set();Responded Existence;quantity;price;['855801e9ed2149fe86a05883974fa243'];['ex 5b.3'];1;if {1} occurs in the process instance, then {2} occurs as well;{'quantity': 0.6329962015151978, 'price': 0.5125361084938049};0.5727661550045013;2680fb1d-fcf4-4d79-8edd-ae7249796204_Object_quantity_Object_price;0.518715345955664;['Change Quantity'];['Change Price'];2680fb1d-fcf4-4d79-8edd-ae7249796204_Object_quantity_Object_price;790
307149e2-294b-44cb-b541-4d60044931c0_Object_quantity_Object_price;Multi-object;;Alternate Precedence[quantity, price] | | |;Binary;set();set();Alternate Precedence;quantity;price;['855801e9ed2149fe86a05883974fa243', 'dc59c1f4e90e4cd592e25e5bf79fbc63'];['ex 5b.3', 'aseel-abushmaes'];2;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'quantity': 0.6329962015151978, 'price': 0.5125361084938049};0.5727661550045013;307149e2-294b-44cb-b541-4d60044931c0_Object_quantity_Object_price;0.521941152407277;['Change Quantity'];['Change Price'];307149e2-294b-44cb-b541-4d60044931c0_Object_quantity_Object_price;1056
d3d06c6d-4273-43f2-b042-d9f9bd1a65a2_Object_price_Object_rejection indicator;Multi-object;;Responded Existence[price, rejection indicator] | | |;Binary;set();set();Responded Existence;price;rejection indicator;['86d79145ca0449848e8560db975ce31f'];['Tutorial 2-2'];1;if {1} occurs in the process instance, then {2} occurs as well;{'price': 0.5123564600944519, 'rejection indicator': 0.7036004662513733};0.6079784631729126;d3d06c6d-4273-43f2-b042-d9f9bd1a65a2_Object_price_Object_rejection indicator;0.5504064233072342;['Change Price'];['Change Rejection Indicator'];d3d06c6d-4273-43f2-b042-d9f9bd1a65a2_Object_price_Object_rejection indicator;1093
d3d06c6d-4273-43f2-b042-d9f9bd1a65a2_Object_purchase order_Object_rejection indicator;Multi-object;;Responded Existence[purchase order, rejection indicator] | | |;Binary;set();set();Responded Existence;purchase order;rejection indicator;['86d79145ca0449848e8560db975ce31f'];['Tutorial 2-2'];1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.5096250176429749, 'rejection indicator': 0.7036004662513733};0.6066127419471741;d3d06c6d-4273-43f2-b042-d9f9bd1a65a2_Object_purchase order_Object_rejection indicator;0.5491772742040696;['Release Purchase Order'];['Change Rejection Indicator'];d3d06c6d-4273-43f2-b042-d9f9bd1a65a2_Object_purchase order_Object_rejection indicator;1
b1ff56ce-4301-4bbd-a33b-85b26b578aef_Object_rejection indicator_Object_price;Multi-object;;Responded Existence[rejection indicator, price] | | |;Binary;set();set();Responded Existence;rejection indicator;price;['86d79145ca0449848e8560db975ce31f'];['Tutorial 2-2'];1;if {1} occurs in the process instance, then {2} occurs as well;{'rejection indicator': 0.7036004662513733, 'price': 0.5123564600944519};0.6079784631729126;b1ff56ce-4301-4bbd-a33b-85b26b578aef_Object_rejection indicator_Object_price;0.5504064233072342;['Change Rejection Indicator'];['Change Price'];b1ff56ce-4301-4bbd-a33b-85b26b578aef_Object_rejection indicator_Object_price;1
b1ff56ce-4301-4bbd-a33b-85b26b578aef_Object_rejection indicator_Object_purchase order;Multi-object;;Responded Existence[rejection indicator, purchase order] | | |;Binary;set();set();Responded Existence;rejection indicator;purchase order;['86d79145ca0449848e8560db975ce31f'];['Tutorial 2-2'];1;if {1} occurs in the process instance, then {2} occurs as well;{'rejection indicator': 0.7036004662513733, 'purchase order': 0.5096250176429749};0.6066127419471741;b1ff56ce-4301-4bbd-a33b-85b26b578aef_Object_rejection indicator_Object_purchase order;0.5491772742040696;['Change Rejection Indicator'];['Release Purchase Order'];b1ff56ce-4301-4bbd-a33b-85b26b578aef_Object_rejection indicator_Object_purchase order;1
947b2e84-a89a-4297-9a00-421f9260bd2b_Object_price_Object_rejection indicator;Multi-object;;Precedence[price, rejection indicator] | | |;Binary;set();set();Precedence;price;rejection indicator;['86d79145ca0449848e8560db975ce31f'];['Tutorial 2-2'];1;{2} occurs only if it is preceded by {1};{'price': 0.5659212470054626, 'rejection indicator': 0.7036004662513733};0.634760856628418;947b2e84-a89a-4297-9a00-421f9260bd2b_Object_price_Object_rejection indicator;0.574510577417189;['Change Price'];['Change Rejection Indicator'];947b2e84-a89a-4297-9a00-421f9260bd2b_Object_price_Object_rejection indicator;1
25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_order confirmation_Object_invoice;Multi-object;;Precedence[order confirmation, invoice] | | |;Binary;set();set();Precedence;order confirmation;invoice;['98154043df554979af0bfdd63270cb80'];['BPMN 2'];1;{2} occurs only if it is preceded by {1};{'order confirmation': 0.6210375428199768, 'invoice': 0.5003182888031006};0.5606779158115387;25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_order confirmation_Object_invoice;0.5078359306819977;['Receive Order Confirmation'];['Vendor creates invoice', 'Clear Invoice'];25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_order confirmation_Object_invoice;10672
25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_purchase order item_Object_invoice;Multi-object;;Precedence[purchase order item, invoice] | | |;Binary;set();set();Precedence;purchase order item;invoice;['98154043df554979af0bfdd63270cb80'];['BPMN 2'];1;{2} occurs only if it is preceded by {1};{'purchase order item': 0.6102054119110107, 'invoice': 0.5003182888031006};0.5552618503570557;25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_purchase order item_Object_invoice;0.502961471772963;['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];['Vendor creates invoice', 'Clear Invoice'];25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_purchase order item_Object_invoice;362
25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_purchase order_Object_invoice;Multi-object;;Precedence[purchase order, invoice] | | |;Binary;set();set();Precedence;purchase order;invoice;['98154043df554979af0bfdd63270cb80'];['BPMN 2'];1;{2} occurs only if it is preceded by {1};{'purchase order': 0.7390336990356445, 'invoice': 0.5003182888031006};0.6196759939193726;25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_purchase order_Object_invoice;0.5609342009790482;['Release Purchase Order'];['Vendor creates invoice', 'Clear Invoice'];25f7045f-b2df-4dc0-a880-4723a00c0a69_Object_purchase order_Object_invoice;10722
88a6fbb4-68a3-489e-904d-ed38c5c1ebad_Object_payment term_Object_price;Multi-object;;Precedence[payment term, price] | | |;Binary;set();set();Precedence;payment term;price;['9881791fca93454992e56383d56f14f6'];['bpmgame task elimination'];1;{2} occurs only if it is preceded by {1};{'payment term': 0.5378322601318359, 'price': 0.6214432716369629};0.5796377658843994;88a6fbb4-68a3-489e-904d-ed38c5c1ebad_Object_payment term_Object_price;0.5248997957475724;['Change payment term'];['Change Price'];88a6fbb4-68a3-489e-904d-ed38c5c1ebad_Object_payment term_Object_price;1093
88a6fbb4-68a3-489e-904d-ed38c5c1ebad_Object_payment term_Object_quantity;Multi-object;;Precedence[payment term, quantity] | | |;Binary;set();set();Precedence;payment term;quantity;['9881791fca93454992e56383d56f14f6'];['bpmgame task elimination'];1;{2} occurs only if it is preceded by {1};{'payment term': 0.5378322601318359, 'quantity': 0.6617907881736755};0.5998115241527557;88a6fbb4-68a3-489e-904d-ed38c5c1ebad_Object_payment term_Object_quantity;0.543056178189093;['Change payment term'];['Change Quantity'];88a6fbb4-68a3-489e-904d-ed38c5c1ebad_Object_payment term_Object_quantity;858
7a317774-ef43-48ca-b755-7c36207664d4_Object_payment block_Object_invoice;Multi-object;;Alternate Precedence[payment block, invoice] | | |;Binary;set();set();Alternate Precedence;payment block;invoice;['98bf3e783ea24e4e8edac38bfa9b8e38'];['Business Process for Handling Down Payments'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'payment block': 0.5831009745597839, 'invoice': 0.5571190714836121};0.570110023021698;7a317774-ef43-48ca-b755-7c36207664d4_Object_payment block_Object_invoice;0.516324827171141;['Remove Payment Block', 'Set Payment Block'];['Vendor creates invoice', 'Clear Invoice'];7a317774-ef43-48ca-b755-7c36207664d4_Object_payment block_Object_invoice;10723
7a317774-ef43-48ca-b755-7c36207664d4_Object_payment block_Object_purchase order;Multi-object;;Alternate Precedence[payment block, purchase order] | | |;Binary;set();set();Alternate Precedence;payment block;purchase order;['98bf3e783ea24e4e8edac38bfa9b8e38'];['Business Process for Handling Down Payments'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'payment block': 0.5831009745597839, 'purchase order': 0.6005205512046814};0.5918107628822327;7a317774-ef43-48ca-b755-7c36207664d4_Object_payment block_Object_purchase order;0.5358554930456223;['Remove Payment Block', 'Set Payment Block'];['Release Purchase Order'];7a317774-ef43-48ca-b755-7c36207664d4_Object_payment block_Object_purchase order;1
a8d7a4b7-60c5-48f4-ba5a-5efd1c5d852c_Object_approval_Object_rejection indicator;Multi-object;;Succession[approval, rejection indicator] | | |;Binary;set();set();Succession;approval;rejection indicator;['da56ab9414ba4e88aa1e4f50ba8eae17'];['Task 4'];1;{1} occurs if and only if it is followed by {2};{'approval': 1.0000001192092896, 'rejection indicator': 0.638652503490448};0.8193263113498688;a8d7a4b7-60c5-48f4-ba5a-5efd1c5d852c_Object_approval_Object_rejection indicator;0.7406194866664948;['SRM: Awaiting Approval', 'Change Approval for Purchase Order'];['Change Rejection Indicator'];a8d7a4b7-60c5-48f4-ba5a-5efd1c5d852c_Object_approval_Object_rejection indicator;652
25f2dd36-6d6b-48c5-9ced-c219566350fb_Object_goods receipt_Object_quantity;Multi-object;;Alternate Precedence[goods receipt, quantity] | | |;Binary;set();set();Alternate Precedence;goods receipt;quantity;['db64ccc095b4491c814381e3ed6ce875'];['base model (3) (1)'];1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'goods receipt': 0.6179774403572083, 'quantity': 0.5423412322998047};0.5801593363285065;25f2dd36-6d6b-48c5-9ced-c219566350fb_Object_goods receipt_Object_quantity;0.5253692091472687;['Record Goods Receipt', 'Cancel Goods Receipt'];['Change Quantity'];25f2dd36-6d6b-48c5-9ced-c219566350fb_Object_goods receipt_Object_quantity;685
11ad502d-edef-40ba-8069-3f43470e1bc4_Object_payment term_Object_purchase order item;Multi-object;;Alternate Response[payment term, purchase order item] | | |;Binary;set();set();Alternate Response;payment term;purchase order item;['220e27deabdd4bfea3c1d09e6e75626f', 'aba47bda154f4276abe2b31c5d8a5297'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)', 'KLIA2 DEPARTURE PROCESS INTERNATIONAL 2POOL']";2;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'payment term': 0.5968834161758423, 'purchase order item': 0.5251243114471436};0.5610038638114929;11ad502d-edef-40ba-8069-3f43470e1bc4_Object_payment term_Object_purchase order item;0.5113550903335695;['Change payment term'];['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];11ad502d-edef-40ba-8069-3f43470e1bc4_Object_payment term_Object_purchase order item;1
11ad502d-edef-40ba-8069-3f43470e1bc4_Object_subsequent invoice_Object_purchase order item;Multi-object;;Alternate Response[subsequent invoice, purchase order item] | | |;Binary;set();set();Alternate Response;subsequent invoice;purchase order item;['220e27deabdd4bfea3c1d09e6e75626f', 'aba47bda154f4276abe2b31c5d8a5297'];"['W4/5-(KLIA) (OWN WORK &amp;  EXAMPLE)', 'KLIA2 DEPARTURE PROCESS INTERNATIONAL 2POOL']";2;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'subsequent invoice': 0.5867668390274048, 'purchase order item': 0.5251243114471436};0.5559455752372742;11ad502d-edef-40ba-8069-3f43470e1bc4_Object_subsequent invoice_Object_purchase order item;0.5068026306167726;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];11ad502d-edef-40ba-8069-3f43470e1bc4_Object_subsequent invoice_Object_purchase order item;23
4e20d452-0762-459a-89df-cd33a084c650_Object_subsequent invoice_Object_invoice receipt;Multi-object;;Succession[subsequent invoice, invoice receipt] | | |;Binary;set();set();Succession;subsequent invoice;invoice receipt;['22d26a122e0048b397a2a249977538ad'];['assess loan application'];1;{1} occurs if and only if it is followed by {2};{'subsequent invoice': 0.5867668390274048, 'invoice receipt': 0.6446201205253601};0.6156934797763824;4e20d452-0762-459a-89df-cd33a084c650_Object_subsequent invoice_Object_invoice receipt;0.5573499382503571;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];4e20d452-0762-459a-89df-cd33a084c650_Object_subsequent invoice_Object_invoice receipt;11146
b63af7f5-7b0d-400a-a934-2602420f2f29_Object_purchase order_Object_delivery indicator;Multi-object;;Responded Existence[purchase order, delivery indicator] | | |;Binary;set();set();Responded Existence;purchase order;delivery indicator;['22d26a122e0048b397a2a249977538ad'];['assess loan application'];1;if {1} occurs in the process instance, then {2} occurs as well;{'purchase order': 0.5134322047233582, 'delivery indicator': 0.6094871163368225};0.5614596605300903;b63af7f5-7b0d-400a-a934-2602420f2f29_Object_purchase order_Object_delivery indicator;0.5085395009286942;['Release Purchase Order'];['Change Delivery Indicator'];b63af7f5-7b0d-400a-a934-2602420f2f29_Object_purchase order_Object_delivery indicator;1
