obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_invoice receipt_Object_purchase order item;Multi-object;;Alternate Response[invoice receipt, purchase order item] | | |;Binary;set();set();Alternate Response;invoice receipt;purchase order item;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'invoice receipt': 0.7916640639305115, 'purchase order item': 0.6102054119110107};0.7009347379207611;44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_invoice receipt_Object_purchase order item;0.6340670705802979;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_invoice receipt_Object_purchase order item;11145
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_subsequent invoice_Object_final invoice indicator;Multi-object;;Responded Existence[subsequent invoice, final invoice indicator] | | |;Binary;set();set();Responded Existence;subsequent invoice;final invoice indicator;1;if {1} occurs in the process instance, then {2} occurs as well;{'subsequent invoice': 0.8053135275840759, 'final invoice indicator': 0.5973420143127441};0.70132777094841;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_subsequent invoice_Object_final invoice indicator;0.6344208003051819;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Final Invoice Indicator'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_subsequent invoice_Object_final invoice indicator;23
e0f55dc6-9d54-49c1-8659-77aba4937bb3_Object_final invoice indicator_Object_invoice receipt;Multi-object;;Alternate Precedence[final invoice indicator, invoice receipt] | | |;Binary;set();set();Alternate Precedence;final invoice indicator;invoice receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'final invoice indicator': 0.6769558787345886, 'invoice receipt': 0.7333611249923706};0.7051585018634796;e0f55dc6-9d54-49c1-8659-77aba4937bb3_Object_final invoice indicator_Object_invoice receipt;0.6378684581287445;['Change Final Invoice Indicator'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];e0f55dc6-9d54-49c1-8659-77aba4937bb3_Object_final invoice indicator_Object_invoice receipt;11145
44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_invoice receipt_Object_order confirmation;Multi-object;;Alternate Response[invoice receipt, order confirmation] | | |;Binary;set();set();Alternate Response;invoice receipt;order confirmation;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'invoice receipt': 0.7916640639305115, 'order confirmation': 0.6210375428199768};0.7063508033752441;44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_invoice receipt_Object_order confirmation;0.6389415294893326;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Receive Order Confirmation'];44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_invoice receipt_Object_order confirmation;11146
4ef26705-5e30-42e2-988a-97c6181bc3da_Object_invoice receipt_Object_quantity;Multi-object;;Responded Existence[invoice receipt, quantity] | | |;Binary;set();set();Responded Existence;invoice receipt;quantity;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7916640639305115, 'quantity': 0.6227349638938904};0.7071995139122009;4ef26705-5e30-42e2-988a-97c6181bc3da_Object_invoice receipt_Object_quantity;0.6397053689725937;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Change Quantity'];4ef26705-5e30-42e2-988a-97c6181bc3da_Object_invoice receipt_Object_quantity;10341
944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_final invoice indicator_Object_goods receipt;Multi-object;;Alternate Response[final invoice indicator, goods receipt] | | |;Binary;set();set();Alternate Response;final invoice indicator;goods receipt;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'final invoice indicator': 0.6769558787345886, 'goods receipt': 0.741655707359314};0.7093057930469513;944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_final invoice indicator_Object_goods receipt;0.641601020193869;['Change Final Invoice Indicator'];['Record Goods Receipt', 'Cancel Goods Receipt'];944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_final invoice indicator_Object_goods receipt;3
c3a34b71-d03a-4819-8b42-aa961aee83cf_Object_quantity_Object_purchase requisition item;Multi-object;;Responded Existence[quantity, purchase requisition item] | | |;Binary;set();{'6ebc716ecde34fd39bc759eaa8c78245sid-4773FDFE-5AD9-4E10-900B-4788F495AD66'};Responded Existence;quantity;purchase requisition item;1;if {1} occurs in the process instance, then {2} occurs as well;{'quantity': 0.7857846617698669, 'purchase requisition item': 0.6363259553909302};0.7110553085803986;c3a34b71-d03a-4819-8b42-aa961aee83cf_Object_quantity_Object_purchase requisition item;0.6431755841739716;['Change Quantity'];['Create Purchase Requisition Item'];c3a34b71-d03a-4819-8b42-aa961aee83cf_Object_quantity_Object_purchase requisition item;731
ed622f81-dacc-4179-9614-1c2c234262be_Object_final invoice indicator_Object_subsequent invoice;Multi-object;;Alternate Precedence[final invoice indicator, subsequent invoice] | | |;Binary;set();set();Alternate Precedence;final invoice indicator;subsequent invoice;2;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'final invoice indicator': 0.6937903165817261, 'subsequent invoice': 0.7213642001152039};0.707577258348465;ed622f81-dacc-4179-9614-1c2c234262be_Object_final invoice indicator_Object_subsequent invoice;0.6432711454168443;['Change Final Invoice Indicator'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];ed622f81-dacc-4179-9614-1c2c234262be_Object_final invoice indicator_Object_subsequent invoice;23
44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_subsequent invoice_Object_order confirmation;Multi-object;;Alternate Response[subsequent invoice, order confirmation] | | |;Binary;set();set();Alternate Response;subsequent invoice;order confirmation;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'subsequent invoice': 0.8053135275840759, 'order confirmation': 0.6210375428199768};0.7131755352020264;44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_subsequent invoice_Object_order confirmation;0.6450837881334366;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Receive Order Confirmation'];44425267-06a3-40d6-bd9c-21c1aec9fedb_Object_subsequent invoice_Object_order confirmation;23
4ef26705-5e30-42e2-988a-97c6181bc3da_Object_subsequent invoice_Object_quantity;Multi-object;;Responded Existence[subsequent invoice, quantity] | | |;Binary;set();set();Responded Existence;subsequent invoice;quantity;1;if {1} occurs in the process instance, then {2} occurs as well;{'subsequent invoice': 0.8053135275840759, 'quantity': 0.6227349638938904};0.7140242457389832;4ef26705-5e30-42e2-988a-97c6181bc3da_Object_subsequent invoice_Object_quantity;0.6458476276166977;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Change Quantity'];4ef26705-5e30-42e2-988a-97c6181bc3da_Object_subsequent invoice_Object_quantity;22
c5c5b868-b93f-4447-88ee-e597d1cc35dd_Object_purchase order_Object_rejection indicator;Multi-object;;Alternate Precedence[purchase order, rejection indicator] | | |;Binary;set();set();Alternate Precedence;purchase order;rejection indicator;6;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'purchase order': 0.7283578515052795, 'rejection indicator': 0.6643834114074707};0.6963706314563751;c5c5b868-b93f-4447-88ee-e597d1cc35dd_Object_purchase order_Object_rejection indicator;0.6460884070204151;['Release Purchase Order'];['Change Rejection Indicator'];c5c5b868-b93f-4447-88ee-e597d1cc35dd_Object_purchase order_Object_rejection indicator;1
259976c7-f868-4cb2-9fdb-98f172b4f3f5_Object_change approval for purchase order_Object_delete purchase order item;Activity;;Responded Existence[change approval for purchase order, delete purchase order item] | | |;Binary;set();set();Responded Existence;change approval for purchase order;delete purchase order item;1;if {1} occurs in the process instance, then {2} occurs as well;{'change approval for purchase order': 0.8467960953712463, 'delete purchase order item': 0.5848826169967651};0.7158393561840057;259976c7-f868-4cb2-9fdb-98f172b4f3f5_Object_change approval for purchase order_Object_delete purchase order item;0.6478268491370337;['Change Approval for Purchase Order'];['Delete Purchase Order Item'];259976c7-f868-4cb2-9fdb-98f172b4f3f5_Object_change approval for purchase order_Object_delete purchase order item;34
09553dde-9f77-4d9a-a2af-549977f6bccb_Object_create purchase requisition item_Object_cancel goods receipt;Activity;;Alternate Precedence[create purchase requisition item, cancel goods receipt] | | |;Binary;set();set();Alternate Precedence;create purchase requisition item;cancel goods receipt;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'create purchase requisition item': 0.7887133359909058, 'cancel goods receipt': 0.6433232426643372};0.7160182893276215;09553dde-9f77-4d9a-a2af-549977f6bccb_Object_create purchase requisition item_Object_cancel goods receipt;0.6479878889662879;['Create Purchase Requisition Item'];['Cancel Goods Receipt'];09553dde-9f77-4d9a-a2af-549977f6bccb_Object_create purchase requisition item_Object_cancel goods receipt;438
2b2c2bdc-5638-4a94-9134-ab29d9967fde_Object_payment term_Object_purchase order;Multi-object;;Responded Existence[payment term, purchase order] | | |;Binary;set();{'82e4ae645a044352a082a2bfd0cefa9fsid-F3DCB1DA-6209-4625-8687-1574F246771A', '82e4ae645a044352a082a2bfd0cefa9fsid-5C197F79-7493-4B81-9CA3-9A2FB64ECB12', '82e4ae645a044352a082a2bfd0cefa9fsid-92B9844E-E881-4CFD-8999-386F104CE272', '82e4ae645a044352a082a2bfd0cefa9fsid-28FCA8EE-B1C7-4FCF-9BB9-EBA0BF80127D'};Responded Existence;payment term;purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment term': 0.6946688294410706, 'purchase order': 0.7390336990356445};0.7168512642383575;2b2c2bdc-5638-4a94-9134-ab29d9967fde_Object_payment term_Object_purchase order;0.6483919442661347;['Change payment term'];['Release Purchase Order'];2b2c2bdc-5638-4a94-9134-ab29d9967fde_Object_payment term_Object_purchase order;1
9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_purchase order item_Object_invoice;Multi-object;;Alternate Precedence[purchase order item, invoice] | | |;Binary;set();set();Alternate Precedence;purchase order item;invoice;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'purchase order item': 0.6102054119110107, 'invoice': 0.8312875628471375};0.7207464873790741;9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_purchase order item_Object_invoice;0.6518976450927796;['Create Purchase Order Item', 'Delete Purchase Order Item', 'Reactivate Purchase Order Item'];['Vendor creates invoice', 'Clear Invoice'];9c2f2534-7f53-46dd-8b23-bf6c561d4328_Object_purchase order item_Object_invoice;9684
90943983-4cfd-4837-8d0f-04e68484199f_Object_payment term_Object_debit memo;Multi-object;;Alternate Response[payment term, debit memo] | | |;Binary;set();set();Alternate Response;payment term;debit memo;3;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'payment term': 0.7769270539283752, 'debit memo': 0.6509793400764465};0.7139531970024109;90943983-4cfd-4837-8d0f-04e68484199f_Object_payment term_Object_debit memo;0.6522352966570085;['Change payment term'];['Vendor creates debit memo'];90943983-4cfd-4837-8d0f-04e68484199f_Object_payment term_Object_debit memo;1
bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_invoice;Multi-object;;Responded Existence[invoice receipt, invoice] | | |;Binary;set();set();Responded Existence;invoice receipt;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'invoice receipt': 0.7916640639305115, 'invoice': 0.6584066152572632};0.7250353395938873;bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_invoice;0.6557576120861115;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Vendor creates invoice', 'Clear Invoice'];bb65722c-f55e-4b88-851b-b7f546fc81ab_Object_invoice receipt_Object_invoice;424
5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_final invoice indicator_Object_storage location;Multi-object;;Succession[final invoice indicator, storage location] | | |;Binary;set();set();Succession;final invoice indicator;storage location;1;{1} occurs if and only if it is followed by {2};{'final invoice indicator': 0.6769558787345886, 'storage location': 0.7748793959617615};0.725917637348175;5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_final invoice indicator_Object_storage location;0.6565516800649704;['Change Final Invoice Indicator'];['Change Storage Location'];5140ec80-6a97-48d8-99e9-d0de55fbc2eb_Object_final invoice indicator_Object_storage location;16
ed622f81-dacc-4179-9614-1c2c234262be_Object_subsequent invoice_Object_invoice receipt;Multi-object;;Alternate Precedence[subsequent invoice, invoice receipt] | | |;Binary;set();set();Alternate Precedence;subsequent invoice;invoice receipt;2;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'subsequent invoice': 0.7704519033432007, 'invoice receipt': 0.6783937215805054};0.724422812461853;ed622f81-dacc-4179-9614-1c2c234262be_Object_subsequent invoice_Object_invoice receipt;0.6584321441188936;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];ed622f81-dacc-4179-9614-1c2c234262be_Object_subsequent invoice_Object_invoice receipt;11146
9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_goods receipt_Object_invoice receipt;Multi-object;;Responded Existence[goods receipt, invoice receipt] | | |;Binary;set();set();Responded Existence;goods receipt;invoice receipt;1;if {1} occurs in the process instance, then {2} occurs as well;{'goods receipt': 0.6772770285606384, 'invoice receipt': 0.7797523736953735};0.728514701128006;9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_goods receipt_Object_invoice receipt;0.6588890374668183;['Record Goods Receipt', 'Cancel Goods Receipt'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_goods receipt_Object_invoice receipt;3411
57465ffe-12e4-46ff-82f5-8510a8dbe8d3_Object_create purchase requisition item_Object_change approval for purchase order;Activity;;Responded Existence[create purchase requisition item, change approval for purchase order] | | |;Binary;set();set();Responded Existence;create purchase requisition item;change approval for purchase order;1;if {1} occurs in the process instance, then {2} occurs as well;{'create purchase requisition item': 0.7887133359909058, 'change approval for purchase order': 0.6687686443328857};0.7287409901618958;57465ffe-12e4-46ff-82f5-8510a8dbe8d3_Object_create purchase requisition item_Object_change approval for purchase order;0.6594383197171347;['Create Purchase Requisition Item'];['Change Approval for Purchase Order'];57465ffe-12e4-46ff-82f5-8510a8dbe8d3_Object_create purchase requisition item_Object_change approval for purchase order;1217
944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_subsequent invoice_Object_invoice receipt;Multi-object;;Alternate Response[subsequent invoice, invoice receipt] | | |;Binary;set();set();Alternate Response;subsequent invoice;invoice receipt;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'subsequent invoice': 0.8053135275840759, 'invoice receipt': 0.6541438698768616};0.7297286987304688;944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_subsequent invoice_Object_invoice receipt;0.6599816353090348;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Record Invoice Receipt', 'Cancel Invoice Receipt'];944489eb-3045-4a2a-a6fa-bc585a5544bd_Object_subsequent invoice_Object_invoice receipt;16
8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_payment term;Multi-object;;Precedence[final invoice indicator, payment term] | | |;Binary;set();set();Precedence;final invoice indicator;payment term;1;{2} occurs only if it is preceded by {1};{'final invoice indicator': 0.6769558787345886, 'payment term': 0.7836142182350159};0.7302850484848022;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_payment term;0.6604823500879349;['Change Final Invoice Indicator'];['Change payment term'];8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_final invoice indicator_Object_payment term;1
63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_subsequent invoice_Object_payment block;Multi-object;;Alternate Precedence[subsequent invoice, payment block] | | |;Binary;set();set();Alternate Precedence;subsequent invoice;payment block;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'subsequent invoice': 0.8053135275840759, 'payment block': 0.6619399785995483};0.7336267530918121;63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_subsequent invoice_Object_payment block;0.6634898842342438;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Remove Payment Block', 'Set Payment Block'];63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_subsequent invoice_Object_payment block;2284
b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment block_Object_subsequent invoice;Multi-object;;Responded Existence[payment block, subsequent invoice] | | |;Binary;set();set();Responded Existence;payment block;subsequent invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment block': 0.6619399785995483, 'subsequent invoice': 0.8053135275840759};0.7336267530918121;b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment block_Object_subsequent invoice;0.6634898842342438;['Remove Payment Block', 'Set Payment Block'];['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment block_Object_subsequent invoice;2271
ed796905-42ba-40b6-aef1-8d6cabd56237_Object_goods receipt_Object_price;Multi-object;;Alternate Precedence[goods receipt, price] | | |;Binary;set();set();Alternate Precedence;goods receipt;price;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'goods receipt': 0.8649106621742249, 'price': 0.6062408685684204};0.7355757653713226;ed796905-42ba-40b6-aef1-8d6cabd56237_Object_goods receipt_Object_price;0.6652439952858032;['Record Goods Receipt', 'Cancel Goods Receipt'];['Change Price'];ed796905-42ba-40b6-aef1-8d6cabd56237_Object_goods receipt_Object_price;803
12c6b0ad-121b-4ef0-a85b-65805d056407_Object_purchase order;Object;purchase order;Alternate Succession[receive, set] | | |;Binary;set();set();Alternate Succession;receive;set;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'purchase order': 0.7390336990356445};0.7390336990356445;12c6b0ad-121b-4ef0-a85b-65805d056407_Object_purchase order;0.6652858501274145;[];[];12c6b0ad-121b-4ef0-a85b-65805d056407_Object_purchase order;61
747954f2-9a6f-42a0-9625-25b984a5e205_Object_purchase order;Object;purchase order;Succession[receive, set] | | |;Binary;set();set();Succession;receive;set;1;{1} occurs if and only if it is followed by {2};{'purchase order': 0.7390336990356445};0.7390336990356445;747954f2-9a6f-42a0-9625-25b984a5e205_Object_purchase order;0.6652858501274145;[];[];747954f2-9a6f-42a0-9625-25b984a5e205_Object_purchase order;61
40b68918-33b7-4d5a-bc7d-f360c426f727_Object_purchase order;Object;purchase order;Alternate Succession[complete, hold] | | |;Binary;set();{'f2818d3742b444929a52d58b565ea1fbsid-959B1AFC-CC87-402C-B237-6FDE7346D4F8'};Alternate Succession;complete;hold;5;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'purchase order': 0.7390336990356445};0.7390336990356445;40b68918-33b7-4d5a-bc7d-f360c426f727_Object_purchase order;0.665907934108752;[];[];40b68918-33b7-4d5a-bc7d-f360c426f727_Object_purchase order;5
6fbd1267-8c5e-4453-9a30-596c7f5361d7_Object_purchase order;Object;purchase order;Succession[hold, approve] | | |;Binary;set();set();Succession;hold;approve;6;{1} occurs if and only if it is followed by {2};{'purchase order': 0.7390336990356445};0.7390336990356445;6fbd1267-8c5e-4453-9a30-596c7f5361d7_Object_purchase order;0.6660634551040864;[];[];6fbd1267-8c5e-4453-9a30-596c7f5361d7_Object_purchase order;5
13273208-cf5b-469c-9c5c-802b99b0ba76_Object_cancel goods receipt_Object_vendor creates invoice;Activity;;Precedence[cancel goods receipt, vendor creates invoice] | | |;Binary;set();set();Precedence;cancel goods receipt;vendor creates invoice;1;{2} occurs only if it is preceded by {1};{'cancel goods receipt': 0.6433232426643372, 'vendor creates invoice': 0.8325664401054382};0.7379448413848877;13273208-cf5b-469c-9c5c-802b99b0ba76_Object_cancel goods receipt_Object_vendor creates invoice;0.6677217858178275;['Cancel Goods Receipt'];['Vendor creates invoice'];13273208-cf5b-469c-9c5c-802b99b0ba76_Object_cancel goods receipt_Object_vendor creates invoice;10658
63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_final invoice indicator_Object_payment term;Multi-object;;Alternate Precedence[final invoice indicator, payment term] | | |;Binary;set();set();Alternate Precedence;final invoice indicator;payment term;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'final invoice indicator': 0.6769558787345886, 'payment term': 0.8051311373710632};0.7410435080528259;63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_final invoice indicator_Object_payment term;0.6701649636991562;['Change Final Invoice Indicator'];['Change payment term'];63ebcf72-f1a1-4bba-81cb-cd7e57d6a7ad_Object_final invoice indicator_Object_payment term;1
b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment term_Object_final invoice indicator;Multi-object;;Responded Existence[payment term, final invoice indicator] | | |;Binary;set();set();Responded Existence;payment term;final invoice indicator;1;if {1} occurs in the process instance, then {2} occurs as well;{'payment term': 0.8051311373710632, 'final invoice indicator': 0.6769558787345886};0.7410435080528259;b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment term_Object_final invoice indicator;0.6701649636991562;['Change payment term'];['Change Final Invoice Indicator'];b5fb86a7-6b91-4599-a125-919c55435ee2_Object_payment term_Object_final invoice indicator;1
8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_payment block;Multi-object;;Precedence[invoice receipt, payment block] | | |;Binary;set();set();Precedence;invoice receipt;payment block;1;{2} occurs only if it is preceded by {1};{'invoice receipt': 0.7916640639305115, 'payment block': 0.69561368227005};0.7436388731002808;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_payment block;0.6725007922418655;['Record Invoice Receipt', 'Cancel Invoice Receipt'];['Remove Payment Block', 'Set Payment Block'];8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_invoice receipt_Object_payment block;2
86b791e7-f43b-4d95-89e5-64a9e762960b_Object_delivery indicator_Object_purchase order;Multi-object;;Precedence[delivery indicator, purchase order] | | |;Binary;set();set();Precedence;delivery indicator;purchase order;18;{2} occurs only if it is preceded by {1};{'delivery indicator': 0.6360528469085693, 'purchase order': 0.7390336990356445};0.6875432729721069;86b791e7-f43b-4d95-89e5-64a9e762960b_Object_delivery indicator_Object_purchase order;0.6768534618039286;['Change Delivery Indicator'];['Release Purchase Order'];86b791e7-f43b-4d95-89e5-64a9e762960b_Object_delivery indicator_Object_purchase order;1
8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_payment block;Multi-object;;Precedence[subsequent invoice, payment block] | | |;Binary;set();set();Precedence;subsequent invoice;payment block;1;{2} occurs only if it is preceded by {1};{'subsequent invoice': 0.8053135275840759, 'payment block': 0.69561368227005};0.750463604927063;8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_payment block;0.6786430508859695;['Cancel Subsequent Invoice', 'Record Subsequent Invoice'];['Remove Payment Block', 'Set Payment Block'];8be269c5-6e28-4f2d-af2c-00ceba822d88_Object_subsequent invoice_Object_payment block;2282
ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_delete purchase order item;Activity;;Alternate Succession[change price, delete purchase order item] | | |;Binary;set();set();Alternate Succession;change price;delete purchase order item;1;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;{'change price': 0.9999999403953552, 'delete purchase order item': 0.5006937980651855};0.7503468692302704;ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_delete purchase order item;0.6788836108786719;['Change Price'];['Delete Purchase Order Item'];ea8d18a4-93fd-4453-ab4a-c501783fed02_Object_change price_Object_delete purchase order item;1395
2353bf3e-c3e0-47b6-8c2e-32bec8fbb990_Object_quantity_Object_invoice;Multi-object;;Alternate Response[quantity, invoice] | | |;Binary;set();set();Alternate Response;quantity;invoice;1;each time {1} occurs, then {2} occurs afterwards, and no other {1} recurs in between;{'quantity': 0.5020760297775269, 'invoice': 1.0};0.7510380148887634;2353bf3e-c3e0-47b6-8c2e-32bec8fbb990_Object_quantity_Object_invoice;0.6791600198515;['Change Quantity'];['Vendor creates invoice', 'Clear Invoice'];2353bf3e-c3e0-47b6-8c2e-32bec8fbb990_Object_quantity_Object_invoice;91
0ddb75ab-1b63-43d6-a1f4-3ae1508685b2_Object_price_Object_quantity;Multi-object;;Responded Existence[price, quantity] | | |;Binary;set();set();Responded Existence;price;quantity;1;if {1} occurs in the process instance, then {2} occurs as well;{'price': 1.0000001192092896, 'quantity': 0.5020760297775269};0.7510380744934082;0ddb75ab-1b63-43d6-a1f4-3ae1508685b2_Object_price_Object_quantity;0.6791600734956803;['Change Price'];['Change Quantity'];0ddb75ab-1b63-43d6-a1f4-3ae1508685b2_Object_price_Object_quantity;1025
06f9897f-c50e-46aa-98b7-f33f79105576_Object_invoice_Object_quantity;Multi-object;;Precedence[invoice, quantity] | | |;Binary;set();set();Precedence;invoice;quantity;1;{2} occurs only if it is preceded by {1};{'invoice': 1.0, 'quantity': 0.5040097236633301};0.752004861831665;06f9897f-c50e-46aa-98b7-f33f79105576_Object_invoice_Object_quantity;0.6800301821001115;['Vendor creates invoice', 'Clear Invoice'];['Change Quantity'];06f9897f-c50e-46aa-98b7-f33f79105576_Object_invoice_Object_quantity;607
bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_cancel invoice receipt_Object_remove payment block;Activity;;Exclusive Choice[cancel invoice receipt, remove payment block] | | |;Binary;set();set();Exclusive Choice;cancel invoice receipt;remove payment block;1;{1} or {2} occurs, but never both in the same process instance;{'cancel invoice receipt': 0.5235631465911865, 'remove payment block': 0.9819870591163635};0.752775102853775;bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_cancel invoice receipt_Object_remove payment block;0.6810690211398261;['Cancel Invoice Receipt'];['Remove Payment Block'];bc821f1a-02bb-4fa6-8b04-f58638d95133_Object_cancel invoice receipt_Object_remove payment block;13026
79145125-4379-47b8-80b5-3525ef516772_Object_invoice_Object_delivery indicator;Multi-object;;Alternate Precedence[invoice, delivery indicator] | | |;Binary;set();set();Alternate Precedence;invoice;delivery indicator;1;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'invoice': 0.8911139369010925, 'delivery indicator': 0.6158117055892944};0.7534628212451935;79145125-4379-47b8-80b5-3525ef516772_Object_invoice_Object_delivery indicator;0.681342345572287;['Vendor creates invoice', 'Clear Invoice'];['Change Delivery Indicator'];79145125-4379-47b8-80b5-3525ef516772_Object_invoice_Object_delivery indicator;38
1f7855d4-7fb7-4f98-82fb-c6e5bb4fd5bd_Object_vendor creates invoice_Object_record goods receipt;Activity;;Alternate Precedence[vendor creates invoice, record goods receipt] | | |;Binary;set();set();Alternate Precedence;vendor creates invoice;record goods receipt;2;each time {2} occurs, it is preceded by {1} and no other {2} can recur in between;{'vendor creates invoice': 0.6801286339759827, 'record goods receipt': 0.8185933828353882};0.7493610084056854;1f7855d4-7fb7-4f98-82fb-c6e5bb4fd5bd_Object_vendor creates invoice_Object_record goods receipt;0.681567764707974;['Vendor creates invoice'];['Record Goods Receipt'];1f7855d4-7fb7-4f98-82fb-c6e5bb4fd5bd_Object_vendor creates invoice_Object_record goods receipt;9344
9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_goods receipt_Object_invoice;Multi-object;;Responded Existence[goods receipt, invoice] | | |;Binary;set();set();Responded Existence;goods receipt;invoice;1;if {1} occurs in the process instance, then {2} occurs as well;{'goods receipt': 0.6772770285606384, 'invoice': 0.8312875628471375};0.7542822957038879;9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_goods receipt_Object_invoice;0.682079872585112;['Record Goods Receipt', 'Cancel Goods Receipt'];['Vendor creates invoice', 'Clear Invoice'];9af92125-e8b1-456f-be49-e3bdbd81e06f_Object_goods receipt_Object_invoice;3834
